<story>Science-technology|Nuclear-power</story>
<start>20080811184637.5261634890814
<end>20080811184912.4801701733438
nuclear power | re bound to get | a response 
Others | are concerned | the risks 
coms Poppy Harlow | has | our Energy Fix 
what folks | are saying | com s Poppy Harlow 
the word | carries | some negative connotations 
He | is calling | more of Republican 
Republican | does nt produce | any greenhouse gases 
the sun | to shine | the wind 
country | gets | about three quarters of its electricity 
the country s | makes so | much energy 
the country s | sells | electricity 
we | get | about percent of our power 
a new nuclear plant | has not been built | this country 
John McCain | would like to change | Republican John McCain 
He | wants | new ones 
nuclear power | needs to be | a part of our energy equation 
he | s | aggressive 
they | have nt had | an incident 
accident | happening | 
safety that | comes | nuclear power 
they | range | about $ 
nuclear plants | to be | targets 
