<story>Justice|Arkansas-Security</story>
<start>20080813134517.6131634890814
<end>20080813134622.6451701733438
Arkansas City | get | the green light 
an | going | anti crime sweep 
The City Council of Helena West Helena | is allowing | police 
the ten blocked | depress | area 
officers | stopped and questioned | anyone 
stops | could violate | residents rights 
They | feel | they 
they | do intend to continue to saturate and question | everyone 
we | are | the ACLUs approach 
we | re trying to do | a lawful job 
the patrols | have led | arrests but note 
