<story>Science-technology|Hydrogen-powered-vehicles</story>
<start>20080813144306.0151634890814
<end>20080813144839.0151701733438
a car | puts | water 
CNNMoney.coms Poppy Harlow | is | New Jersey 
we | ve heard | hydrogen powered vehicles 
we | decided to come | New Jersey 
we | re going to shut | the engine 
this car | have | a hydrogen tank 
right out | to create | electricity 
we | re going to take | a test 
the key for the United States recent run of success in women s gymnastics | to start | the key for the United States recent run of success in women s gymnastics 
we | re | percent power 
we | re going to get | to 
We | re going to go | drive 
We | re | percent 
we | drive | Now 
We | can drive | Now 
the water | to prove | how clean 
we | re filling | the cup 
We | got | percent 
One thing | do want to tell | people 
these | are | the road 
They | re leasing | some Honda and Mercedes 
Honda | is | still four to years 
we | ll certainly check | this out 
