<story>Accident|Bear-attack</story>
<start>20080813145822.3971634890814
<end>20080813145910.7791701733438
An year old boy | has survived | the encounter 
An pound black bear | came | a tree standing 
EVAN PALA | pushed | my teeth 
then my dad | pulled | my dad 
he | started tackling | me 
he | was laughing | LRB INAUDIBLE RRB 
we | re not going to get hurt | LRB INAUDIBLE RRB 
they | had | that trip 
The boys father and brother | threw | sticks and stones 
the bear | to chase | a bear 
Park rangers | ended up killing | the bear 
