<story>Accident|Bear-attack</story>
<start>20080813174037.1331634890814
<end>20080813174136.0921701733438
their tale | surviving | a bear attack 
his brother and father | were hiking | Tennessees Great Smoky Mountains 
the bear | attacked | year old Evan Pala 
Evan | suffered | a dozen cuts 
his dad and brother | fought | the bear 
BEAR | pushed | my teeth 
then my dad | pulled | his dad and brother 
he | started tackling | me 
INAUDIBLE | RRB | his dad and brother 
he | was laughing | INAUDIBLE 
we | re not going to get hurt | INAUDIBLE 
father | does nt really always know | best 
they | re | a bear 
the one | attacked | little Evan 
