<story>Labor|Four-day-work-week</story>
<start>20080813194917.018</start>
<end>20080813195207.689</end>
CNNs John Zarrella | has been taking | a look 
we | heard | some Utah State employees 
Everybody | liked | Last hour 
Utahs state government | believes | ZARRELLA 
a year | going | a four day workweek 
just as important as the savings it how it affects employees | affects | employees 
We | spent | some time 
two | have | similar issues 
Both women | work | the State of Utah 
Both | have | children 
the states new four day workweek | has impacted | Both lives 
day care | closes | 
every Friday | to spend | my son 
We | re going | the planetarium 
She | has | three sons 
she | used | vacation time 
week | to pick | Joseph 
we | have | a balance 
Mylitta | needs | a sitter 
the mornings | to care | Joseph 
the soccer game | missed | Monday night 
work | not get | home 
Mylitta | knows | hers 
Her supervisors | are being | they 
State officials | say | first blush 
employees | seem | the most part 
they | want | State officials 
we | ll get | yet another angle 
