<story>Human-interest|Cindy-McCain-hand-hospitalized</story>
<start>20080813194752.500</start>
<end>20080813194854.863</end>
We | have breaking | news 
Don Lemon | involves | the wife of presidential hopeful John McCain 
Cindy McCain | has been taken | the hospital 
suburban Detroit | complaining | pain 
The wife of Republican presidential nominee John McCain | taken | Beaumont Hospital 
Michigan | complaining | pain 
He | may comment | McCain 
We | re exactly sure | how serious 
She | had to go | the hospital 
THE SITUATION ROOM | starts | about minutes 
They | will follow | all the breaking developments 
we | get | new information 
we | re | the air 
Cindy McCain | taken | the hospital 
