<story>Human-interest|Cindy-McCain-hand-hospitalized</story>
<start>20080813195521.4161634890814
<end>20080813195616.5041701733438
she | was accompanying | her husband 
we | got | this in 
She | says | some time 
an enthusiastic supporter | shook | Mrs. McCains hand 
she | decided to leave | the event 
she | was treated | a minor sprain 
a minor sprain Cindy McCain | suffering | hand 
They | shake | a lot of hands 
they | do shake | a lot of hands 
We | re | a lot of hands 
She | s got | a lot 
