<story>Social|American-population-change</story>
<start>20080814154840.149</start>
<end>20080814155105.628</end>
whites | will no longer be | a majority 
Hispanics | will make | percent of the population 
blacks | will account | percent 
The Census Bureau | estimates | the number of people 
| will triple | million 
America | will belong | minorities 
Some groups | will be | bigger 
none | will be | a majority 
Josh Levs | has been pouring | the just released projections 
Pretty | boils | to 
the Census Bureau | saying | we 
the population | is going to jump | about million today 
me | break | The U.S. population 
they | are defining | minority 
they | are defining | The minority population 
Let | s back | a little bit 
me | step out | the way 
Lets | go | the first numbers 
America | will be | the majority 
minorities | will be | percent of the country 
this country | will be considered | minorities 
Lets | go | the next one 
which | includes | African Americans and Caribbeans 
the final one | will go | the Asian population 
the final one | is where | the population growth 
they | re defining | the majority 
her way to Tbilisi in Georgia | will be | a plurality 
