<story>Environment|Olympics-air-quality</story>
<start>20080808180348.793</start>
<end>20080808180449.920</end>
the athletes and anyone | will be | a big factor 
we | ll see | The pollution 
they | ve taken often | the road 
Larry Smith | reporting | Beijing 
We | look forward | more of your reports 
We | appreciate | Olympics 
the months | leading | the Olympics 
Chinese officials | have been talking | a lot 
They | have taken | steps 
they | do | Beijing s notorious pollution 
We | ll have | a live report 
