<story>Sports|Michael-Phelps</story>
<start>20080813131609.500</start>
<end>20080813131753.838</end>
The haul | gives | Michael Phelps 
CNNs Larry Smith | is there | CNN s Larry Smith 
he | gets | a bit of a reprieve 
gold | will continue | the weekend 
his goggles | filled | water 
He | was | he 
he | got | the team 
they | shattered | the world record 
an awful lot of world records | being set | that relay 
they | obliterated | the world record something 
we | saw | Athens four years 
the waves | tend | kind of dissipate 
One | allows | a smoother surface 
they | can pressurize | the cube 
We | do appreciate | COLLINS Yes Larry you know there s an awful lot of world records being set in that relay . 
we | re | a little 
CNNs Larry Smith | live | Beijing 
