<story>War|South-Ossetia-war-cease-fire</story>
<start>20080814130449.054</start>
<end>20080814130545.010</end>
Let | s get | the latest 
they | are now | the move 
One of two | split | One of two 
will Russia | seize | the two breakaway territories 
Georgia | has said | Georgia 
today | to meet | President Sarkozy 
He | helped broker | the cease fire 
tomorrow Rice | heads | Georgias capital of Tbilisi 
the first planes | have delivered | humanitarian aid 
The U.S. military | is spearheading | relief efforts 
CNN | has deployed | its vast international resources 
