<story>Social|American-population-change</story>
<start>20080814171853.998</start>
<end>20080814172028.960</end>
New census figures | show | a big shift 
CNNs Alina Cho | looks | the numbers 
This census report | came | at midnight 
the surprising projection | is | the year 
minorities | will indeed become | the majority 
minorities | are expected to make | percent of the population 
which | will nearly triple | nearly million today 
the Asian population | will rise | about to percent of the total 
the black population | will go up | percent 
The U.S. population overall | will rise | more than million 
| will triple | the next years 
