<story>Politics|Presidential-campaign</story>
<start>20080814191050.048</start>
<end>20080814191140.165</end>
the White House | takes | John McCain 
The Republican candidate | was | the town of Edwards earlier today 
He | s headed now | Aspen 
Obama | is still | his native state of Hawaii 
a move | could anger | conservative Republicans 
John McCain | is floating | the idea 
a running mate | supports | abortion rights 
McCain | opposes | abortion 
he | tells | The Weekly Standard 
the party | should nt require | all its candidates 
McCain | campaigned | earlier this week 
Ridge | is seen | a potential running mate 
