<story>Science-technology|Glycerin-alternative-fuel</story>
<start>20080814155348.557</start>
<end>20080814155541.270</end>
The researchers | think | they 
High gas prices | have sent | production of alternative fuels 
the waste | left | over 
the same stuff | found | cosmetics and pharmaceuticals 
Houston | have found | a way 
They | can also turn | an even more valuable chemical 
The process | ferments | the glycerin 
a strain of E. coli | does nt cause | disease 
the process | helps trap | the greenhouse gas 
the process | converting | the glycerin 
we | are actually decreasing | pollution 
the more ecofriendly way | to make | succinate 
the biodiesel industry | were to adapt | the technology 
the biodiesel industry | will completely change | the economic biodiesel production 
Mass production | could take | a while 
the process | has been licensed | a start up company 
which | could have | a demonstration plant 
