<story>Education|Arizona-school-uniform-controversy</story>
<start>20080814155856.0641634890814
<end>20080814155953.5411701733438
A schoolgirl | gets | a 
A schoolgirl shirt | has | too many buttons 
A school dress code | turns | a hot button issue 
The controversy | is | the number of buttons 
a reason | restricting | the number of buttons 
the dress code | calls | red blue or white polo shirts 
your shirt | looks | fine 
she | has | too many buttons 
The reason | choosing | a polo 
we | did nt have | girls 
cleavage | was being exposed | that kind of thing 
they | may add | a specific provision 
CNN NEWSROOM | continues | just one hour 
