<story>Government|Bush-terror-watchlist</story>
<start>20080814153639.5961634890814
<end>20080814154140.2631701733438
CNNs special investigations unit | will look | CNN 
he | was put | CNN s special investigations unit 
He | found | himself 
Drew | talked | the author 
He | has written | three books 
That book | was released right | Labor Day 
the presidents National Guard service | dogged | the Bush reelection campaign 
George Bush | won | reelection 
Moore | decided to go | vacation 
November | was | his first flight 
he | could nt check | home 
He | went | the ticket counter 
All of a sudden | find | myself 
one of a million names and aliases | have | a match 
Moore | called | the TSA 
a TSA employee | told | a TSA employee 
he | would just have to put | TSA 
she | said | the only thing 
which | is | someone 
GRIFFIN | LRB | camera RRB 
which | manages | the database 
the watch list | are handled and reviewed | non 
career intelligence and law enforcement officials | make | Officials determinations 
a reasonable suspicion | to believe | the individual 
The FBI | says | several government audits 
no suggestion anyone | got | the watch list 
Congress | held | hearings 
people | are being added | the list 
CNN | aired | critical investigative reports 
Jackson Lee | is expecting | a response 
he | s been waiting | three years 
We | did ask | the FBI 
any terrorist | shares | Jim Moores name 
this Jim Moore | says being | the watch list 
wing conspiracy nuts | think | the administration 
Deal with it . | does sound | we 
the heck | does | the government care 
anybody | named | Drew Griffin 
They | ca nt find | anybody 
the big thing | is just trying to get | that answer 
We | saw | Sheila Jackson Lee 
we | saw | Congress 
what everybody | is trying to find | out 
The airlines | have been waiting | years 
TSA | to solve | this problem 
many years thousands and thousands of people | being mistakenly placed | this list 
the TSA | takes | the entire list 
probably the youngest terror suspect | ve ever | seen 
We | ll wait | COLLINS 
