<story>War|South-Ossetia-war</story>
<start>20080814192258.9091634890814
<end>20080814192610.1341701733438
the conflict | is happening | Russia 
the president | apparently called | the territorial integrity of Georgia 
He | was meeting | the CIA today 
the video | is | the president 
sic RRB government | has been saying | troops 
some ways | ignoring | the cease fire 
the president | was meeting | today 
He | thanked | the workers 
He | said | Secretary of State Condoleezza Rice 
Let | s listen | the president 
INAUDIBLE RRB | hosting | me 
a chance | to thank | a lot of the folks 
they | re making to secure | the homeland 
People | work long and hard | hours 
they | deserve | the nations thanks 
We | had | a couple of briefings 
different possibilities | could develop | the area 
the territorial integrity of Georgia | to be respected | the cease fire agreement 
we | will be working | this issue 
Russia | will honor | the cease fire 
they | honoring | the cease fire 
they | honoring | the cease fire 
the CIA director today | speaking | the president 
that Secretary of State Condoleezza Rice | making | the trip 
The president | saying | that press conference 
that Secretary of State Condoleezza Rice | will update | Secretary of State Condoleezza Rice 
We | will follow | that press conference that Secretary of State Condoleezza Rice will update him on his ranch this coming weekend 
