<story>Business|Funeral-live-streaming-services</story>
<start>20080815135806.3481634890814
<end>20080815135937.6391701733438
One funeral home | wants to bring | the service 
own Lance Peck | missed | his daughters play 
a parent or grandparent | could go | the school 
Peck | sets | a camera 
he | can broadcast | a funeral live 
He | s already used | a funeral live 
own Lance Peck | is | the golf course 
own Lance Peck | is | a church 
family members | are sent | an e mail 
they | enter | a password 
each broadcast | s stored | the website 
they | could actually request | a DVD copy of the event 
the technology | will normally be used | funeral services 
the Downard home | wants to use | the technology 
the funeral home | is offering | its service free of charge 
