<story>Politics|Obama-plane-incident</story>
<start>20080815141640.3981634890814
<end>20080815141739.4241701733438
New details | coming | about 
Obamas plane | had | mechanical problems 
FAA tapes | show | the pilot 
he | requested | crash equipment standing 
we | d like to declare | this an emergency 
We | d like | 
we | have | Senator Obama 
The FAA | admits | its earlier statements of no emergency 
Obama | joked | they 
spice things | up | a little bit 
an evacuation slide | had inflated | the tail of the jet 
An investigation of course | is | way 
