<story>Politics|Obama-Mccain-Warren-debate</story>
<start>20080815155530.9921634890814
<end>20080815155932.9341701733438
They | ll also be mixing | politics 
Barack Obama | hoping to make | inroads 
evangelical voters | favor | John McCain 
percent of evangelicals | supported | President Bush 
Obama and McCain | will bid | evangelical voters 
a live forum | hosted | Pastor Rick Warren 
Warren | told | CNNs AMERICAN MORNING 
he | ll look | the candidates 
We | re going to look | four different segments 
which | is | the role and responsibility of the presidency 
they | believe | the Constitution 
We | re going to look | a section 
no matter | answer | each of these guys 
we | re going to look | Americas role 
we | ve been | a blessed nation 
we | should bless | others 
forum | live | tomorrow 
