<story>Weather|Atlantic-developing-hurricane</story>
<start>20080815171028.994</start>
<end>20080815171158.817</end>
Let | s talk | some weather 
Our Chad Myers | is tracking | a big rain maker 
The question | develop | something 
now | has | no name 
We | ve been saying that | the past three days 
Here | was just coming down | buckets 
they | get | a lot of rain 
they | have | El Yunque rain forest 
just | pouring | down rainfall 
Puerto Rico a number | handles | the rain 
rain | comes | inches 
now | is | the D.R. 
flooding mudslides and probably more loss of life | get | the wind 
They | found | a mile per hour wind 
