<story>Health:Teaser|Michael-Phelps-diet</story>
<start>20080815174535.7651634890814
<end>20080815175228.5441701733438
Michael Phelps | has carved | a place 
KEILAR After delaying the start of his Texas vacation President Bush today used his strongest language yet and condemned Russia s behavior toward its Black Sea neighbor . | comes | eating 
KEILAR After delaying the start of his Texas vacation President Bush today used his strongest language yet and condemned Russia s behavior toward its Black Sea neighbor . | takes to fuel | a champion 
ph | taped | LEMON 
home tonight | watch | now 
he | is eating | a storm 
He | is sweeping | his swimming evnts 
He | s also cleaning | the dining hall 
a look | fuels | his physique 
He | burns | thousands of calories 
Michael Phelps | said | he 
he | needed to have | between and calories 
He | burns | his body 
his body | is really | a huge key 
a look | makes | Michael Phelps special 
They | act | flippers 
they | are | those turns 
He | has | a very 
an expert | told | me 
he | has extra long | muscles 
every stroke | is | anybody elses 
sports medicine experts | tell | me 
the experts | are telling | me 
he | has | this very systematic way of training 
he | knows | this very systematic way of training 
we | were talking | Michael Phelps 
He | is really | the only thing anybody 
CNN.com | will be talking | CNN.com 
CNN.com | live | this Tuesday 
Michael Phelps | live | Tuesday morning 
