<story>Health|Premature-baby-survival</story>
<start>20080815183702.3501634890814
<end>20080815183835.8771701733438
Let | bring | in 
A lot of us | think | that and say 
A lot of us | going to face | some difficulties 
This baby | was | weeks 
the mom | was | six and a half months 
Those babies | have | a great survival rate 
something | is | this case 
they | think | she 
they | could nt talk | Brianna 
they | did nt have | Brianna medical records 
the doctors | told | me 
we | re really | she 
we | think | she 
they | pulled | the mom 
they | have to intibate | the mom 
they | have to do | CPR 
They | would nt say | anything 
dad | has nt signed | a HIPAA release form 
he | s | critical condition 
