<story>Celebrity|Madonna-turns-50</story>
<start>20080815185645.866</start>
<end>20080815185954.404</end>
she | is still | vogue today 
we | re talking | Madonna 
She | turns | 
a woman | continues | rock and shock 
a half century | might slow | this show biz icon 
she | emerged | the s 
peoples approval | doing | the right thing 
she | was | all those things 
she | did nt care | what anyone thought 
women | found | very liberating 
she | s been rocking | People 
The Vatican | called | the past blonde ambition tour 
The couple | denies | their marriage 
the next couple of days | has nt stopped | the tabloids 
Italian Catholic decision | to adopt | a young Malawian boy 
the old Madonna | might be passed | this MADONNA LRB singing RRB sell 
my legs | m not going to wear | something age appropriate 
she | s done really well | herself 
she | s done so much | her music 
LRB INAUDIBLE RRB | is just | the next 
she | were | my mom 
Madonna | turns | 
she | shows | no signs 
