<story>Health|Fresh-fit-food</story>
<start>20080815194423.693</start>
<end>20080815194613.636</end>
Dr. Sanjay Gupta | looks | one food service 
a diet | can fight | the battle of the bulge 
Drive thrus | take | out 
They | were | change 
Tiffany | signed | a new service 
Atlanta | called | Fresh 
Tiffany | drops | off ready 
we | make | everything 
Executive chef Brent McIntire | oversees | about line cooks 
the Fresh and Fit kitchen | makes | the food 
Registered dietitian Ashley Owings | makes | Dr. Sanjay Gupta 
We | have | two meal plans 
two | s necessarily | a diet plan 
Dr. Sanjay Gupta | has become | a lifestyle change 
a true portion size | looks | she 
feeling | ve deprived | myself of anything 
case | re | curious Fresh and Fit menu plans 
