<story>Accident|Texas-bus-crash</story>
<start>20080808170706.9581634890814
<end>20080808170845.5901701733438
A blown tire | may have led | this deadly scene 
a bus | carrying | members of a Vietnamese church group 
the death toll | is up | 
We | have had | reports 
so many | taken | the Dallas area 
The driver | lost | control of the bus 
he | hit | the guardrail 
he | rode | guardrail 
the guardrail | gave | way 
We | re told | a small fire 
they | did suffer | minor injuries 
two others | died | a local hospital 
the National Transportation Safety Board | is investigating | the bus crash 
we | speak | this afternoon 
We | had | medical helicopters 
this morning | assisting | this accident 
the ages | ranged | little to old 
Nicole Holt | reporting | that terrible bus accident 
