<story>Entertainment|8-8-8-wedding</story>
<start>20080808185656.177</start>
<end>20080808185848.356</end>
some couples | are taking | the eight obsession 
guys | were supposed to try | your dress yesterday 
Tina Xu | is leaving | nothing 
LRB BEGIN VIDEOTAPE RRB UNIDENTIFIED FEMALE You guys were supposed to try on your dress yesterday when you picked it up . groom Jai Wong | left | the selection of guys wedding day 
we | knew | 
the number eight | is | the pronunciation 
a word | means making | a lot of money 
Over couples | plan to get married | this Friday 
number | is more | 
couples | have certainly taken | the date 
The demand | has forced | wedding planners 
We | had to turn | more than couples 
he | wo nt forget | One number . 
China | timed | the start of the Olympic Games 
we | celebrate | our Chinese culture 
we | were | Tina Xu 
We | ll see | about eight 
They | will not be staying here | eight children honeymoon 
