<story>Money|China-economy</story>
<start>20080811132409.8471634890814
<end>20080811132522.8871701733438
this new analysis | predicting | China 
the way things | were growing | next year 
we | ve seen | a reduction 
they | re saying | next year 
China | could be | the worlds biggest manufacturer 
we | re | a very 
we | re | a state of flex 
one of the things | is | our economy 
we | buy | less 
they | re saying | VELSHI Economics firm . 
curling | became | an Olympic event 
a kid | thought | a kid 
