<story>Weather|US</story>
<start>20080811130712.063</start>
<end>20080811131008.173</end>
We | will get | Rob 
We | re going to talk | a hail storm 
the hail | did knock down | some tree limbs and branches 
heavy rain | caused | dangerous flooding 
A pickup driver | got stuck | the water 
We | re told | some of this scene 
Gusty winds | brought down | some tree branches 
Gusty winds | was | the worst 
some rain | expected | the southern plains 
He | s tracking | the Severe 
MARCIANO | feels | schools about 
We | got | tropical action 
We | have | some things brewing 
