<story>Art-culture|Chinese-cooking</story>
<start>20080811145717.566</start>
<end>20080811145920.822</end>
LRB COMMERCIAL BREAK RRB | could be | an Olympic feat 
Americans | to swallow | some of the different food 
CNNs Larry Smith | samples | the menu 
CNN CORRESPONDENT | LRB | camera RRB OK 
we | have come | the area 
this your first time | eating | star fish 
we | ate | some scorpions 
The scorpion | tastes | chicken 
We | found | scorpions 
This thing | stretches | the entire block 
everything | thought | eating 
whose live | has been saved | two more weeks 
the whole walkway | ve seen | nothing 
