<story>Health|Race-affects-cancer</story>
<start>20080811174602.3911634890814
<end>20080811174736.9861701733438
the rate | screening | prostate cancer 
race | matters when | CNN NEWSROOM 
only one in three African American men | is getting screened | three African American men s 
which | is when | they 
we | need to do | a better job 
African American men | need to get screened | African American men s 
men | should get tested | prostate cancer 
which | includes | all black men 
Everybody else | can wait | their 
some people | need to even do | their 
someone | has | several relatives 
several relatives family | have had | prostate cancer 
they | should even get tested | age 
Right | is usually | and 
