<story>War|Americans-evacuate-Georgia</story>
<start>20080811175121.444</start>
<end>20080811175240.022</end>
CNN | is confirming | the U.S. 
CNN NEWSROOM | s according | the State Department 
The departure | was performed | two different convoys 
which | included | dependents of American employees 
The United States | evacuated | American citizens 
two convoys | carrying | private U.S. citizens 
American diplomats | based | Georgia 
They | have left | Tiblisi 
more convoys | are being prepared | case other Americans 
Our Zain Verjee | is working | this developing story 
the wires | pardon | me 
she | ll update | American diplomats 
