"","PHRASE_STUB","PHRASE","ORIGINALPHRASE","WORDS","ALPHA","BETA","DEM_COUNT","REP_COUNT","slant","Rshare"
"1","ablebuygun","able buy gun","able to buy a gun",3,0.0003835,-0.000481,26,0,-26,0
"2","abortionclinic","abortion clinic","abortion clinics",2,-3.3e-05,0.0003221,10,41,31,0.803921568627451
"3","abughraib","abu ghraib","abu ghraib",2,0.0020824,-0.0020391,232,106,-126,0.313609467455621
"4","abughraibprison","abu ghraib prison","abu ghraib prison",3,0.0003715,-0.0002566,49,15,-34,0.234375
"5","abusepower","abuse power","abuse of power",2,0.002754,-0.0035974,218,32,-186,0.128
"6","abusedneglectedchild","abused neglected children","abused and neglected children",3,0.0009221,-0.0014589,21,2,-19,0.0869565217391304
"7","actionfairnessact","action fairness act","action fairness act",3,-0.0005819,0.0019492,25,92,67,0.786324786324786
"8","actionlawsuit","action lawsuit","action lawsuits",2,-0.0023918,0.0069647,66,161,95,0.709251101321586
"9","additionalfunding","additional funding","additional funding",2,0.0011934,0.0002572,160,63,-97,0.282511210762332
"10","additionaltaxcut","additional tax cut","additional tax cuts",3,0.0003963,-0.0003731,63,0,-63,0
"11","adequatehealthcare","adequate health care","adequate health care",3,0.00045,-0.0004752,24,2,-22,0.0769230769230769
"12","administrationoffici","administration official","administration officials",2,0.0008108,-0.0008929,96,21,-75,0.179487179487179
"13","adultstem","adult stem","adult stem",2,-0.0008004,0.0040642,52,224,172,0.811594202898551
"14","adultstemcel","adult stem cel","adult stem cells",3,-0.0007952,0.0040378,52,223,171,0.810909090909091
"15","affordablehousing","affordable housing","affordable housing",2,0.0112977,-0.0160457,235,72,-163,0.234527687296417
"16","africanamerican","african american","african american",2,0.0452225,-0.069642,1021,313,-708,0.234632683658171
"17","africanamericancommu","african american community","african american community",3,0.0028523,-0.0040692,51,7,-44,0.120689655172414
"18","africanamericanlatin","african american latino","african americans and latinos",3,0.0002961,-0.0004977,18,0,-18,0
"19","africanamericanwomen","african american women","african american women",3,0.0025795,-0.0039015,57,15,-42,0.208333333333333
"20","alternativeminimumta","alternative minimum tax","alternative minimum tax",3,0.0032195,-0.0031241,206,74,-132,0.264285714285714
"21","americabloodcent","america blood cent","america blood centers",3,0.0001894,0.0001669,2,16,14,0.888888888888889
"22","americanbarassociati","american bar association","american bar association",3,6.54e-05,0.000732,51,102,51,0.666666666666667
"23","americancommunity","american community","american community",2,0.0060466,-0.0078508,147,40,-107,0.213903743315508
"24","americanconsumer","american consumer","american consumers",2,-0.0005321,0.0044251,211,89,-122,0.296666666666667
"25","americanfarmbureau","american farm bureau","american farm bureau",3,0.0008782,-0.0007857,6,43,37,0.877551020408163
"26","americanforceradio","american force radio","american forces radio",3,2.31e-05,6.3e-06,22,2,-20,0.0833333333333333
"27","americanfretrade","american fre trade","american free trade",3,0.002804,-0.0025736,409,123,-286,0.231203007518797
"28","americanheritagemont","american heritage month","american heritage month",3,0.0014452,-0.0022185,46,5,-41,0.0980392156862745
"29","americanlivingpovert","american living poverty","americans living in poverty",3,0.000213,-0.0003609,16,0,-16,0
"30","americanpacificislan","american pacific islander","american and pacific islander",3,0.0005732,-0.0009199,32,1,-31,0.0303030303030303
"31","americanpeople","american people","american people",2,0.0487591,-0.032202,4149,2082,-2067,0.334135772749157
"32","americanpeopledeserv","american people deserve","american people deserve",3,0.0012328,-0.0008239,164,50,-114,0.233644859813084
"33","americanvalue","american value","american values",2,-0.0027496,0.0077302,141,37,-104,0.207865168539326
"34","americanworker","american worker","american workers",2,0.0043144,-0.001359,547,214,-333,0.281208935611038
"35","amnestyillegalalien","amnesty illegal alien","amnesty to illegal aliens",3,-9.53e-05,0.0004229,0,12,12,1
"36","angelecitycouncil","angele city council","angeles city council",3,0.0009941,-0.0015752,18,0,-18,0
"37","antigun","anti gun","anti gun",2,-0.0002972,0.0007923,1,30,29,0.967741935483871
"38","appropriationbil","appropriation bil","appropriations bill",2,0.0023032,0.0247972,1149,1204,55,0.511687207819804
"39","araboilembargo","arab oil embargo","arab oil embargo",3,-3.73e-05,0.0001238,2,16,14,0.888888888888889
"40","arcticnationalwildli","arctic national wildlife","arctic national wildlife",3,0.0031704,-0.0043482,198,37,-161,0.157446808510638
