<story>Justice|Mayor-home-raided</story>
<start>20080808123109.766</start>
<end>20080808123200.217</end>
The FBI | is investigating how | police 
Police | stormed | Cheye Calvo's home 
he | picked | a package 
Cops | tied up | the family 
The package | contained | 32 pounds of marijuana 
his wife | were | unsuspecting victims of a drug ring 
We | spoke | the mayor 
AMERICAN MORNING | said | the police 
They | broke | our door 
BERWYN HEIGHTS | was | Wednesday 
BERWYN HEIGHTS | went | the line 
they | blamed | my dogs 
they | were away | the door 
