<story>War|South-Ossetia-war</story>
<start>20080808145453.821</start>
<end>20080808145600.722</end>
CNN.com | has | an excellent explainer 
the Republic of Georgia | called | South Ossetia 
years | 's been trying to insert | its independence 
Recent tensions | heated | November 2006 
they | declared | independence 
a referendum and Russian peacekeepers | have been keeping | the two sides 
shooting | erupted | several days 
Georgian troops | opposing | forces 
Each side | blames | the other 
we | 've been watching | the video and pictures 
The situation | has escalating | Russia 
