<story>Politics|McCain-speech-economy</story>
<start>20080808162918.988</start>
<end>20080808163154.310</end>
John McCain | visited | Lima 
a message | restoring | our economy 
we | need are | policies 
a successful economic surge | to keep | jobs 
home | create | new ones 
a bipartisan fashion | gets | the eye 
We | need to open | new markets 
We | need to reduce | the cost of healthcare 
We | need to end | the out of control spending 
he | wants | energy independence 
he | 's opposed | new drilling 
he | 's opposed | nuclear power 
he | said | the high cost of gasoline 
the people | are driving | the oldest automobiles 
oil | is going to bring | the price 
We | need to drill offshore | right now 
our coast | will reduce | the price of a barrel 
