<story>Politics|Obama-speech-economy</story>
<start>20080808163333.476</start>
<end>20080808163524.153</end>
Moments | heard | John McCain 
he | wants to restore | the economy 
He | told | reporters 
his campaign plane | yesterday | he 
McCain | have | very different ideas 
we | 've been talking | the economy 
the stories | hear | the campaign trail of single moms 
groceries | do n't have | healthcare 
folks | have lost | single moms jobs 
they | find | a new job 
they | 're getting | paid two-thirds of what 
they | were making before | fewer benefits 
the campaign trail of single moms who ca n't afford groceries | 's been | the constant refrain of this election season 
The American people | are hurting | they 
our economic plans | provide | The American people 
relief | meet | the short 
an energy policy | can drive | gas prices 
we | are investing | roads and bridges 
the United States | could put | people 
people | are not going to be paying | as much attention 
they | 're going to be paying | September and October 
