<story>Politics|Energy-presidential-campaign</story>
<start>20080808165145.033</start>
<end>20080808165241.055</end>
we | come right back | Beijing 
people | are going to really be thinking | the election 
the economy | comes | the election 
a lot of people | think | another couple months 
the two candidates | are increasingly separating | themselves 
the other , | will have | a choice 
energy | will be | the one place 
we | 've seen | John McCain 
we | can get | oil 
we | do | CHRISTINE ROMANS 
we | 're seeing | bubble 
The Dow | is up | 240 points 
Let | celebrate when | oil 
We | 'll be waiting | a while 
