<story>Politics|Negative-presidential-campaigning</story>
<start>20080808175352.995</start>
<end>20080808175803.512</end>
the candidates | said | first 
recent negative ads | may tell | a different story 
CNN's Richard Lui | asked | voters 
we | 're talking | negative campaign tactics 
more ads | focused purely | the issues 
the American people | deserve | a little 
people | see | the American people 
they | seem | a joke 
we | 're going to still play | the process and vote 
they | 've | bad 
they | 've got | a lot 
