<story>Politics|Obama-vacation</story>
<start>20080808201730.213</start>
<end>20080808201834.010</end>
He | 's going | Hawaii 
He | 's finally going to take | a week 
his family | are off | Hawaii 
He | wants to visit | his grandmother 
many expect | would be | a lull 
Obama's vacation | comes | a time 
he | 'd have | a much larger lead 
the wrong photograph | could become | political ammunition 
Obama | admits | a candidate 
he | has n't seen | his grandmother 
he | wants to spend | time 
The Financial Times | reports | Democrats 
Obama | needs to accomplish | the following 
he | comes back | the vacation 
a good event | to name | his vice presidential choice 
