<story>Politics|Clinton-supporters-protest</story>
<start>20080808205040.368</start>
<end>20080808205344.018</end>
Bill Clinton | is still | a work 
Bill Clinton | will | fact 
Hillary Clinton | is expected to address | the delegates 
The Obama camp | is having | some mixed success 
Let | 's go | Jessica Yellin 
She | 's working | this story 
Senator Clinton | is out | Las Vegas today 
Senator Obama | to be | president 
He | represents | the unity 
we | will have | we 
November | elect | Senator Barack Obama 
She | is | the need 
we | 're going to have | a terrific convention 
We | want | Hillary 
some of Clinton's most ardent supporters | have | some of Clinton 's most ardent supporters way 
they | wo n't vote | Obama 
a few | are even developing | a documentary 
This trailer | is | YouTube 
the Obama group | were | the telephone 
These vocal Hillary devotees | could pose | problems 
the fact | is still | this impression 
Obama | has actually gained | support 
they | plan to vote | McCain 
the DNC | have tried to appease | these critics 
both Clintons | inserting | the proposed party platform 
We | believe standing | our country 
' influence | will be come | November 
any one demographic | could single-handedly sink or win | this election 
the Obama campaign | insists | they 
these Clinton folks | will get | a lot of attention 
We | have got | a lot 
