<story>Politics|Clinton-supporters-protest</story>
<start>20080808232055.986</start>
<end>20080808232343.887</end>
Senator Hillary Clinton | is campaigning | Barack Obama today 
right now | might look | the hatchet 
He | represents | the unity 
we | will have | we 
November | elect | Senator Barack Obama 
She | is | the need 
we | 're going to have | a terrific convention 
We | want | Hillary 
some of Clinton's most ardent supporters | have | some of Clinton 's most ardent supporters way 
Some Hillary | holdouts still | Web sites 
they | wo n't vote | Obama 
a few | are even developing | a documentary 
This trailer | is | YouTube 
the Obama group | were | telephones 
These vocal Hillary devotees | could pose | problems 
they | matter | terms of the spirit 
the fact | is still | this impression 
the Pew Research Center | shows | Obama 
they | plan to vote | McCain 
the DNC | have tried to appease | these critics 
both Clintons | inserting | the proposed party platform 
We | believe standing | our country 
' influence | will be come | November 
any one demographic | could single-handedly sink or -- or win | this election 
YELLIN | -LRB- | camera -RRB- 
The Obama campaign | insists | they 
They | maintain | Clinton holdouts ' influence 
they | need | time 
one person | put | one 
Jessica Yellin | reporting | Washington 
