<story>Entertainment|Isaac-Hayes-death</story>
<start>20080811020129.755</start>
<end>20080811020308.587</end>
We | 're going to begin | news 
65 years | collapsed | today 
Let | 's go | Memphis 
Let's try | get | all the information 
we | can | this still developing story 
Kontji Anthony | happened | noon Central Time 
Isaac Hayes wife's cousin | discovered | Isaac Hayes wife 's cousin 
He | was | the floor 
he | was having | trouble 
she | called | 911 
they | took | a deputy 
they | rushed | a deputy 
the hospital | is where | he 
he | died | specifically 
the new information | 's coming | in 
he | was suffering | a condition 
he | suffered | a stroke 
they | had | any reaction 
they | spoken | anyone 
friends | are pouring | friends sentiments 
these two music pillars | passed | the same week 
two | did | a very unique situation 
