<story>Accident|Texas-bus-crash</story>
<start>20080811021622.347</start>
<end>20080811021744.495</end>
The government | is shutting | two companies 
A total of 17 people | lost | two companies tied to Friday 's deadly bus crash in Texas lives 
a guardrail | skidded | a highway 
Investigators | are saying | A total of 17 people 
That tire | was | a retread 
one of the calls | made | a witness 
they | made | the call 
people | just laid | out 
Bloody and people | laid | out 
Passengers | were | part of a Catholic Church group 
They | were headed | Houston 
