<story>Health|Veterinary-shortage</story>
<start>20080811121818.196</start>
<end>20080811122045.376</end>
Some trouble | down | the farm 
The veterinary profession | facing | a huge shortfall 
the American Veterinary Medical Association | expects | the vet shortage 
She | 's helping | Dr. John Curran 
ph | do | ultrasound 
A dirty , physical job | takes | dedication 
She | comes | a family of farmers 
-LRB- BEGIN VIDEOTAPE -RRB- KEILAR -LRB- voice-over -RRB- : This is the classroom for Suzanne Gregory , a fourth year veterinary medicine student at Virginia Tech . fellow students | are increasingly choosing to care | household pets 
A vet shortage | could leave | farmers 
they | 're | our lifeline 
we | do not have | these vets 
we | would lose | a lot of money 
Congress | has taken | note 
experts | warn | a vet shortage 
foot and mouth disease | even cripple | the nation's defenses 
Anthrax | has been | a long time disease 
veterinarians | are | these types of diseases 
sponsored legislation | gives | grants 
schools | preparing | large animal vet students 
which | includes | legislation 
the program | to forgive | school loan debt 
new vets | go to work | underserved rural areas 
the profession | tell | me 
