<story>Sports|Olympics-Phelps</story>
<start>20080811133407.711</start>
<end>20080811133543.406</end>
His relay team | setting | a record 
a stirring | come | behind 
Our Larry Smith | is | Beijing 
Phelps and company | won | the trash 
France | should have learned | Athens four years 
He | got | the victory 
this relay race | 's going to go | as one of the great races 
He | swam | the first leg 
we | have | video 
the guy | doing | all 
U.S. | not only getting | gold 
the second | to win | gold 
he | fell | the pool 
he | fallen | the pool 
he | does win | his second gold 
the East Coast | to go | his third gold medal 
