<story>Sports|Olympics</story>
<start>20080811135146.202</start>
<end>20080811135538.867</end>
Our Fredricka Whitfield | headed | the Olympic Games 
the Olympic Games | gave | her my number 
she | is | her father 
a former Olympian | to see | old friends 
CNN CORRESPONDENT | -LRB- | camera -RRB- 
London | became | the host of the 2012 Games 
the committee | chose | London 
we | 're | the top 
we | pack | our bags 
The Olympic Games | becomes | a family of people 
People | meeting | people 
me | going | Beijing 
the most exciting experience | 've ever had | my life 
the time | 've spent | sports 
so many years | seeing | other Olympians of his day 
He | does n't know | sure 
the only man | to win | gold 
they | stayed | course 
Dr. Lee | winning | two golds 
dad | collectively winning | three gold 
three | was | all worth 
his joint | is already feeling | healing powers 
old friends | do n't recognize | F. WHITFIELD : A fighter then and a fighter now who says the constant shooting pain in his joint is already feeling healing powers from the surprise-filled journey to Beijing . 
they | will remember | the face 
the goal | going | Beijing 
the prospect of these octogenarian Olympians | meeting | the XXIX Olympiad 
