<story>Politics|Obama-campaign-energy</story>
<start>20080811162939.942</start>
<end>20080811163113.836</end>
We | heard earlier | John McCain 
renewable energy | to become | energy 
Barack Obama | would solve | our energy crisis 
a major commitment | investing | these alternative energies 
we | deal | this huge structural issue 
some serious negotiations | taking | place 
place in the Senate | provides | a framework 
offshore drilling | is going to provide | the kind of significant relief or long-term strategy 
part of a larger , comprehensive strategy | to deal | our real energy challenges 
we | hear | these candidates 
the energy debate | is obviously | a hot topic 
$ 192 million | has been spent | energy-themed ads 
