<story>Money|US-economy</story>
<start>20080811164859.467</start>
<end>20080811164945.513</end>
We | talk | gas prices 
we | buy or | the cars 
we | drive | because those gas prices 
a couple of things | are going to hit | home literally 
this winter | 's going to be | heating oil 
this winter | 's going to be | natural gas 
We | talked | the prescription prices 
a lot of these drug companies | are facing | the expiration of the drug companies patents 
they | have not resolved | the issue 
they | used | to 
They | are trying to squeeze | as much profit 
they | can out | the drug companies blockbuster drugs 
