<story>Politics|Presidential-campaign</story>
<start>20080811182850.827</start>
<end>20080811183007.937</end>
the curtain | goes | the Democratic convention 
the CNN Election Express | is | the road 
We | 're | our way 
we | 're cutting | the Allegheny Mountains 
We | left | Washington 
we | 're | the Pennsylvania Turnpike 
we | 're going to be talking | a lot of voters 
one of the battleground | states | everybody 
they | get | Denver 
people | try to figure | the voters 
we | 're going to be talking | all 
we | take | the CNN Election Express 
CNN 's Tom Foreman on the Express as well | is | your mind 
he | 'll love | DON LEMON 
