<story>Entertainment|Isaac-Hayes-death</story>
<start>20080811185213.294</start>
<end>20080811185421.489</end>
Singer Isaac Hayes | died | his home 
He | was found | unconscious Sunday 
CNN's Rick Sanchez | has more | Hayes 
My generation | grew up | the soundtrack of this Isaac Hayes 
He | helped invent | That voice , that cool , that hot buttered soul , disco , Isaac Hayes 
those categories | owes | their sound 
the ground work | laid | the early and mid '70s 
anyone | thought to call | their sound 
top of Billboards's Charts | won | Isaac Hayes 
name recognition and charisma | led quickly | movie roles 
most of which | proved | he 
He | was | 65 
award | winning | singer 
Our i-Reporters | are paying | tribute 
