<story>International|Presidential-campaign-South-Ossetia</story>
<start>20080811200504.602</start>
<end>20080811200906.911</end>
John McCain | delivered | a new statement today 
Barack Obama | remains | vacation 
Let | 's bring in | CNN's Ed Henry 
this conflict | would seem to present | a political opportunity 
he | 's got | the foreign policy credentials 
John McCain | is really trying to seize | this issue 
John McCain | tried | showcase 
his own foreign policy credentials | taking | a harder line 
our allies | should continue | efforts 
Barack Obama | vacationing | Hawaii 
McCain | has | the stage 
himself | to try and show | he 
the experience | to handle | a crisis 
he | was ahead | the curve months 
he | started denouncing | Russian leader Vladimir Putin's anti-Democratic moves 
We | must remind | Russia's leaders 
part of the civilized world | require | Russia 's leaders respect 
Obama | has been getting | briefings 
Georgia | spoke | out 
all sides | to show | restraint 
the 3:00 a.m. ad Hillary Clinton | ran | the Democratic primaries 
Obama | was up | the job 
The ad | did n't work | Clinton 
the McCain camp | thinks | the issue 
Independent voters | concerned | security 
McCain's claim | to have | a 
' poll | found | last month 
they | would trust more | an unforeseen crisis 
50 percent | said | John McCain 
41 percent | said | Barack Obama 
one | might expect | because those credentials 
they | trust | more 
Barack Obama | got | 54 percent 
John McCain | got | 35 percent 
they | trust | more 
John McCain | pushing ahead | this issue 
the possibility | backing | words 
they | 're | both U.S. senators 
some tough language | can get | out front 
he | 's trying to say | he 
he | 's been pressing | Vladimir Putin 
he | was | president 
