<story>NULL</story>
<start>20080812020003.019</start>
<end>20080812020102.461</end>
Russian tanks | roaring | Georgia and Russian warplanes 
people | fleeing | their lives 
Russia | has rejected | U.N. resolution 
a U.N. resolution | calling | a cease fire 
for a tough talk | is sparking | fear of a new Cold War 
about | is really happening | the ground 
the U.S. | can do to stop | the U.S. 
President Bush | spoke out earlier | today 
this week | have raised | serious questions 
These actions | have substantially damaged | Russia's standing 
these actions | jeopardize | Russians 
Russia | to be | its word 
