<story>Politics|Edwards-affair</story>
<start>20080812020102.461</start>
<end>20080812020339.518</end>
We | are going to have | a live report 
no doubt | timed | -LRB- CROSSTALK -RRB- COOPER 
he | hoped to avoid | a lot of awkward questions 
Unanswered questions | abound | the John Edwards case 
they | start | the money 
dollars | to arrange | housing 
the man | is | the record 
we | will get | the lawyer 
He | said | he 
his own pocket | did | his own pocket 
Hunter and Young | were being hounded | the news media 
Edwards | told | ABC News 
he | knew | nothing of the payment 
a dime of money | to -- | any of the people 
anybody | to pay | a dime of money 
Nothing | has been done | my request 
' One America Political Action Committee | paid | Rielle Hunter's company 
Hunter | produced | Web videos 
he | asserted | this interview 
NIGHTLINE | -RRB- | EDWARDS 
nothing | to do | the fact 
the affair | started | the second half of 2006 
the biggest question | looming | this entire episode 
the baby | was conceived | the affair 
she | wo n't submit | the child 
