<story>Crime|Caylee-Anthony-missing</story>
<start>20080812024212.061</start>
<end>20080812024533.896</end>
The person or persons | has | my granddaughter 
something | will click | their brain 
we | 've kept | this girl 
somebody | is going to just realize | she 
the grandfather of Caylee Anthony | telling | 360's '' Randi Kaye 
the 3-year-old was | kidnapped | nearly two months 
Caylee's mom | may be lying | police 
they | expect | good news 
Caylee's mother | has repeatedly told | Authorities 
they | need | Authorities daughter 
she | is | jail 
she | could have given | the information they need from their daughter 
police | gotten | Caylee home 
she | might have | some very critical information 
They | believe | she 
they | 're not going to get | now 
they | get | `` 360 's '' Randi 
they | do n't want | this information 
she | does n't want | that information 
She | 's being held | $ 500,000 bond 
just today | refused to reduce | that bond 
Caylee's grandparents | want | Casey 
she | can give | Caylee Anthony 's grandparents 
Casey | seemed | `` 360 's '' Randi parents 
they | said | television cameras 
`` 360 's '' Randi parents | became | her parents daughter 
we | 've learned | this weekend 
the daughter | did n't want to see | `` 360 's '' Randi parents 
the grandparents | saw | Casey 
She | gets | about three visits 
the daughter did n't want to see her parents brother | was supposed to see | the daughter did n't want to see her parents 
he | got | a note 
she | was n't taking | any visitors 
Her mother | was supposed to see | her mother 's last night 
a phone call | saying | Casey 
they | chalk | a phone call 
they | feel | they 
some clues | to find | little Caylee 
they | 're really worried | her mother 's safety 
they | have | an idea 
they | 're watching | these people 
they | 've changed | Caylee's appearance 
they | may have cut | her mother 's hair 
they | 've started dressing | her mother 's 
she | ca n't be recognized | the street 
authorities | are n't saying | anything 
the investigation | is | this point 
she | can get | jail 
We | 're following | a number of other stories 
