<story>International|Presidential-campaign-South-Ossetia</story>
<start>20080812120349.661</start>
<end>20080812120640.031</end>
this entire conflict | played | the international stage 
both candidates | had | some strong words 
Russian tanks | rolling | deeper and deeper 
John McCain | is trying to seize | the issue 
John McCain | tried | showcase 
our allies | should continue | efforts 
the United Nations Security Council | condemning | Russia's aggression 
Barack Obama | vacationing | Hawaii 
McCain | has | the stage 
himself | to try and show | he 
experience | to handle | a crisis 
he | was ahead | the curve months 
he | started denouncing | Russian leader Vladimir Putin's anti-democratic moves 
We | must remind | Russia's leaders 
part of the civilized world | require | Russia 's leaders respect 
Obama | has been getting | briefings 
Georgia | spoke | out 
he | 's talking | tough SEN. BARACK OBAMA 
Russia | has escalated | its military campaign 
Hillary Clinton | ran | the Democratic primaries 
Obama | was up | the job 
The ad | did n't work | Clinton 
the McCain camp | thinks | the issue 
independent voters | concerned | security 
McCain's claim | to have | a 
Washington Post '' poll | found | last month 
they | trust | more 
50 percent | said | McCain 
41 percent | said | Obama 
they | trust | more 
54 percent | said | Obama 
35 percent | said | McCain 
we | 'll continue to follow | that amazing pictures 
the developments | have been happening | the show 
