<story>Sports|Olympics-Phelps</story>
<start>20080812121818.563</start>
<end>20080812122202.987</end>
Swimmer Michael Phelps | takes | another step 
He | won | the 200-meter freestyle 
He | needs to win | five more 
more | 's happening | Beijing 
He | is much | the elements 
he | rips | the water 
Michael Phelps | has already done | lots of things 
He | breaks | all these world records 
we | take | a part of that 
history | places | BOB BOWMAN 
Bowman | began | coaching Phelps 
an 11-year-old | had | trouble focusing 
he | was | a young swimmer 
he | raced | he 
dreams | being | an Olympian 
Swimming nearly four miles per workout | may have cost | Phelps much of his childhood 
he | 's missed out | sort of maybe a normal progression 
he | 's missed | anything 
the Olympic games | standing | the medial podium 
the medial podium | was | the medial podium 
he | finds | himself 
Phelps | has | the opportunity 
' most hallowed record | eclipse | Mark Spitz's seven gold medals 
he | gets | gold 
Phelps | will have | the record 
Olympic history | could plainly be called | the greatest Olympian 
the first person | to do | these things 
He | spends | so much time 
he | likes to stick | the head 
-LRB- END VIDEOTAPE -RRB- SMITH | ends here | Beijing 
he | has already said | he 
he | may set | these records 
a thing of beauty | to watch | Larry 
a stroke | is | other swimmers 
anybody | talked | ROBERTS : Larry , it 's just a -- it 's a thing of beauty to watch him swim . 
He | 's addressed | he 
he | 's been swimming | the freestyle 
he | has never gotten | his technique right 
He | admits | his technique 
He | 's setting | records 
they | 've got | a lot of weird golf swings on the tour 
