<story>Politics|Edwards-affair</story>
<start>20080812122506.537</start>
<end>20080812122702.219</end>
Hillary Clinton | would be | the presumptive Democratic nominee 
Obama | is just | the reason that the Edwards revelation , I do think , hurt Obama 
the reason that the Edwards revelation , I do think , hurt Obama | reinforces | the conviction 
a lot of Americans | have | the news media 
rumors | had been circulating and swirling literally | months and months 
people | are playing | the Democratic side 
that kind of thing | does hurt | Obama 
Michael | 'm tempted to say | something 
his personal life | see | he 
CNN | was investigating | this as well 
enough facts | to go | CNN 
