<story>Health|Healthy-delivery-food</story>
<start>20080812125256.805</start>
<end>20080812125441.143</end>
people | are getting | good food 
They | were | change 
Tiffany | signed | a new service 
Atlanta | called | Fresh 
Tiffany | drops | off ready 
we | make | everything 
Executive chef Brett McIntire | oversees | about 20 line cooks 
the Fresh and Fit kitchen | makes | the food 
Registered dietitian Ashley Owings | makes | Our Dr. Gupta 
We | have | two meal plans 
Our Dr. Gupta | has become | a lifestyle change 
she | 's lost | weight 
feeling | 've deprived | myself of anything 
case | 're | curious , Fresh and Fit menu plans 
