<story>International|Presidential-campaign-South-Ossetia</story>
<start>20080812141633.791</start>
<end>20080812141901.939</end>
The presidential candidates | weighing | Russia 
CNN's Ed Henry | has | more 
John McCain | tried | showcase 
our allies | should continue | efforts 
Barack Obama | vacationing | Hawaii 
McCain | has | the stage 
himself | to try and show | he 
the experience | to handle | a crisis 
he | was ahead | the curve months 
he | started denouncing | Russian leader Vladimir Putin's anti-democratic moves 
We | must remind | Russia's leaders 
part of the civilized world | require | Russia 's leaders respect 
Obama | has been getting | briefings 
Georgia | spoke | out 
Russia | has escalated | its military campaign 
the 3:00 a.m. ad Hillary Clinton | ran | the democratic primaries 
Obama | was up | the job 
The ad | did n't work | Clinton 
the McCain camp | thinks | the issue 
independent voters | concerned | security 
McCain's claim | to have | a 
last month | found when | asked 
they | trust | more 
50 percent | said | McCain 
41 percent | said | Obama 
they | trust | more 
54 percent | said | Obama 
