<story>Health|Vitamin-D-in-milk</story>
<start>20080812152432.335</start>
<end>20080812152646.002</end>
scientists | stumbled | a possible secret 
Some people | are calling | CNN 
several studies | show | CNN 
They | found | folks 
they | did n't live as long | people 
the doctor | ask | a simple blood test 
a good way | to do | Food 
we | have | a lovely list 
great places | to get | Vitamin D. Fortified cereal 
all of those | have | lots of Vitamin D 
the Vitamin D capsules | be | OK 
the sun | to get | lots 
A lot of us | is often | they 
your face | do n't want | wrinkles 
we | 're talking | five to 30 minutes 
we | give | range 
some people | need | five 
some | need | 30 
