<story>Accident|Massachusetts-plane-crash</story>
<start>20080812153049.178</start>
<end>20080812153208.357</end>
We | have now learned | the plane crash 
we | 've been telling | you about and here 's pictures 
which | was | a cessna-type plane 
me | read | some of this new information 
the FAA | said | the three 
bear with me as I | was | route 
the single engine plane | was | a single engine cessna 
the single engine plane | was | just a pleasure flight 
we | are | top of that story 
The plane | completely engulfed | flames 
We | 're going to keep | our eye 
three people | are | that plane crash 
