<story>Science-technology|E-coli-diesel-fuel-alternative</story>
<start>20080812154526.021</start>
<end>20080812154933.868</end>
we | have | this debate 
she | hopes | Congress 
its session | is | December 
CNN's Miles O'Brien | reports | a fuel alternative 
These tiny bacteria | are making | diesel fuel 
the E. coli cells | converted | sugar 
a company | called | LS9 
a harmless strain of E. coli | to make | fuel 
All | have to is feed | the bacteria 
corn or | -- | UNIDENTIFIED MALE 
They | eat | sugar 
digest | expel | petroleum waste 
his team | have genetically engineered | these tiny oil makers 
E. coli | could make | other fuels 
We | 've genetically engineered | E. coli 
fuel | can be used | existing infrastructure 
LS9's E. coli diesel | can be mixed | traditional fossil fuels 
LS9 's E. coli diesel | can not be sent | existing pipelines 
an army of microbes | make | a difference 
something | can make | work 
ROBERT MCCORMICK , NATL. RENEWABLE ENERGY LAB : If you 've got something that you can make work in a test tube , that 's good . | work | a very large scale 
they | are ramping | they 
They | hope to be making | millions of gallons 
later this week | to say | we 
we | 're going to completely eliminate | our dependence 
they | get | the bugs out 
a CNN.com special report | called | American Road Trip 
VERONICA DE LA | comes | the rising cost of gas 
people | have been looking | ways 
CNN.com | has launched | this special report 
any other biofuel | can do | particular 
exactly | 're going ahead | time 
they | 're | what kind of currency 
Some places | accept | cash 
ph | hit | the road 
which | is chemically modified | vegetable oil 
They | ran | a couple problems 
We | 're looking | an explainer online 
